Factors for n=2000000000
3999999999999999900 : 2*2*3*5*5*89*1447*1553*3999999999999999900
3999999999999999901 : 19*2897*3999999999999999901
3999999999999999902 : 2*3999999999999999902
3999999999999999903 : 3*101*241*3999999999999999903
3999999999999999904 : 2*2*2*2*2*1061*3999999999999999904
3999999999999999905 : 5*7*13*3999999999999999905
3999999999999999906 : 2*3*3*17*31*421674045962471
3999999999999999907 : 3999999999999999907
3999999999999999908 : 2*2*11*3999999999999999908
3999999999999999909 : 3*2713*3999999999999999909
3999999999999999910 : 2*5*3999999999999999910
3999999999999999911 : 167*659*3581*3999999999999999911
3999999999999999912 : 2*2*2*3*7*7*4127*3999999999999999912
3999999999999999913 : 239*3999999999999999913*3999999999999999913
3999999999999999914 : 2*283*5903*3999999999999999914
3999999999999999915 : 3*3*3*3*5*653*26759*3999999999999999915
3999999999999999916 : 2*2*59*3999999999999999916
3999999999999999917 : 193*3999999999999999917
3999999999999999918 : 2*3*13*23*317*3999999999999999918
3999999999999999919 : 7*11*349*3999999999999999919
3999999999999999920 : 2*2*2*2*5*19*3999999999999999920
3999999999999999921 : 3*27073*3999999999999999921
3999999999999999922 : 2*29*37*3999999999999999922
3999999999999999923 : 17*9403*3999999999999999923
3999999999999999924 : 2*2*3*3*3999999999999999924
3999999999999999925 : 5*5*3999999999999999925
3999999999999999926 : 2*7*1733*3999999999999999926
3999999999999999927 : 3*8053*3999999999999999927
3999999999999999928 : 2*2*2*8999*3999999999999999928
3999999999999999929 : 25771*3999999999999999929
3999999999999999930 : 2*3*5*11*3999999999999999930
3999999999999999931 : 2*13*251*991*7039*3999999999999999931
3999999999999999932 : 2*2*3999999999999999932
3999999999999999933 : 3*3*7*149*3999999999999999933
3999999999999999934 : 2*3999999999999999934
3999999999999999935 : 5*97*4211*3999999999999999935
3999999999999999936 : 2*2*2*2*2*2*3*41*41*3999999999999999936
3999999999999999937 : 31*103*4153*3999999999999999937
3999999999999999938 : 2*53*3999999999999999938
3999999999999999939 : 3*19*19*269*3999999999999999939
3999999999999999940 : 2*2*2*5*7*17*3999999999999999940
3999999999999999941 : 11*11*11*23*43*47*3999999999999999941
3999999999999999942 : 2*3*3*3*3999999999999999942
3999999999999999943 : 3999999999999999943
3999999999999999944 : 2*2*2*13*67*3999999999999999944
3999999999999999945 : 3*5*3999999999999999945
3999999999999999946 : 2*3999999999999999946
3999999999999999947 : 7*229*1531*3999999999999999947
3999999999999999948 : 2*2*3*3999999999999999948
3999999999999999949 : 42667*3999999999999999949
3999999999999999950 : 2*5*5*257*24953*3999999999999999950
3999999999999999951 : 3*3*29*449*1327*3999999999999999951
3999999999999999952 : 2*2*2*2*11*3999999999999999952
3999999999999999953 : 227*3999999999999999953
3999999999999999954 : 2*3*7*19993*3999999999999999954
3999999999999999955 : 2*5*3999999999999999955
3999999999999999956 : 2*2*3999999999999999956
3999999999999999957 : 3*13*17*36791*3999999999999999957
3999999999999999958 : 2*19*61*3999999999999999958
3999999999999999959 : 37*16703*3999999999999999959
3999999999999999960 : 2*2*2*3*3*3*5*3999999999999999960
3999999999999999961 : 7*7*7*7*3999999999999999961
3999999999999999962 : 2*109*173*1787*3999999999999999962
3999999999999999963 : 3*11*6947*3999999999999999963
3999999999999999964 : 2*2*23*71*307*2251*6257*3999999999999999964
3999999999999999965 : 5*73*683*3999999999999999965
3999999999999999966 : 2*3*3999999999999999966
3999999999999999967 : 83*3999999999999999967
3999999999999999968 : 2*2*2*2*2*2*7*31*127*127*3999999999999999968
3999999999999999969 : 3*3*3*3999999999999999969
3999999999999999970 : 2*5*13*3259*3999999999999999970
3999999999999999971 : 21319*3999999999999999971
3999999999999999972 : 2*2*3*3999999999999999972
3999999999999999973 : 263*1847*3803*3999999999999999973
3999999999999999974 : 2*2*11*17*3999999999999999974
3999999999999999975 : 3*5*5*7*59*113*2857*19801*20201*3999999999999999975
3999999999999999976 : 2*2*2*313*1033*3999999999999999976*3999999999999999976
3999999999999999977 : 19*41*79*839*35521*3999999999999999977
3999999999999999978 : 2*3*3*3999999999999999978
3999999999999999979 : 4*383*3999999999999999979
3999999999999999980 : 2*2*5*29*599*31139*3999999999999999980
3999999999999999981 : 3*8861*3999999999999999981
3999999999999999982 : 2*7*593*3999999999999999982
3999999999999999983 : 13*3999999999999999983
3999999999999999984 : 2*2*2*2*3*43*691*983*3943*3999999999999999984
3999999999999999985 : 5*11*3999999999999999985
3999999999999999986 : 2*199*199*293*3999999999999999986
3999999999999999987 : 3*3*23*3999999999999999987
3999999999999999988 : 2*2*47*1283*3999999999999999988
3999999999999999989 : 3*7*89*503*3999999999999999989
3999999999999999990 : 2*3*5*3999999999999999990
3999999999999999991 : 17*53*211*233*2393*3999999999999999991
3999999999999999992 : 2*2*2*223*3999999999999999992
3999999999999999993 : 3*139*3999999999999999993
3999999999999999994 : 2*3999999999999999994*3999999999999999994
3999999999999999995 : 2*5*3999999999999999995
3999999999999999996 : 2*2*3*3*3*3*7*11*13*19*37*3999999999999999996
3999999999999999997 : 421*3999999999999999997
3999999999999999998 : 2*3999999999999999998
3999999999999999999 : 3*31*3999999999999999999
