Factors for n=2000000
3999999999900 : 2*2*3*5*5*163*409*199999
3999999999901 : 491*8146639511
3999999999902 : 2*23*86956521737
3999999999903 : 3*1333333333301
3999999999904 : 2*2*2*2*2*124999999997
3999999999905 : 5*7*13*8791208791
3999999999906 : 2*3*3*521*426530177
3999999999907 : 761*5256241787
3999999999908 : 2*2*11*90909090907
3999999999909 : 3*1333333333303
3999999999910 : 2*5*399999999991
3999999999911 : 3999999999911
3999999999912 : 2*2*2*3*7*59*67*6023153
3999999999913 : 569*7029876977
3999999999914 : 2*17*1049*112151629
3999999999915 : 3*3*3*5*19*1559454191
3999999999916 : 2*2*43*23255813953
3999999999917 : 3999999999917
3999999999918 : 2*3*13*857*59839033
3999999999919 : 7*11*11*47*100479791
3999999999920 : 2*2*2*2*5*29*1724137931
3999999999921 : 3*1333333333307
3999999999922 : 2*31*37*1743679163
3999999999923 : 3999999999923
3999999999924 : 2*2*3*3*577*192566917
3999999999925 : 5*5*23*263*26450653
3999999999926 : 2*7*285714285709
3999999999927 : 3*353*3777148253
3999999999928 : 2*2*2*41*71*171762281
3999999999929 : 3999999999929
3999999999930 : 2*3*5*11*12121212121
3999999999931 : 13*17*73*563*440389
3999999999932 : 2*2*229*4366812227
3999999999933 : 3*3*7*63492063491
3999999999934 : 2*19*105263157893
3999999999935 : 5*799999999987
3999999999936 : 2*2*2*2*2*2*3*53*53*89*167*499
3999999999937 : 587*6814310051
3999999999938 : 2*1999999999969
3999999999939 : 3*1333333333313
3999999999940 : 2*2*5*7*7*7*583090379
3999999999941 : 11*751*484202881
3999999999942 : 2*3*3*3*157*233*2024933
3999999999943 : 3999999999943
3999999999944 : 2*2*2*13*113*401*848797
3999999999945 : 3*5*266666666663
3999999999946 : 2*1999999999973
3999999999947 : 7*571428571421
3999999999948 : 2*2*3*17*23*852514919
3999999999949 : 29*137931034481
3999999999950 : 2*5*5*79999999999
3999999999951 : 3*3*61*7285974499
3999999999952 : 2*2*2*2*11*22727272727
3999999999953 : 19*31*6791171477
3999999999954 : 2*3*7*109*873743993
3999999999955 : 5*799999999991
3999999999956 : 2*2*999999999989
3999999999957 : 3*13*13*7889546351
3999999999958 : 2*1999999999979
3999999999959 : 37*43*173*14532613
3999999999960 : 2*2*2*3*3*5*11111111111
3999999999961 : 7*1097*520901159
3999999999962 : 2*1999999999981
3999999999963 : 3*11*139*872029649
3999999999964 : 2*2*757*1321*1000003
3999999999965 : 5*17*47058823529
3999999999966 : 2*3*47*14184397163
3999999999967 : 3999999999967
3999999999968 : 2*2*2*2*2*7*79*103*439*4999
3999999999969 : 3*3*3*3*41*293*1093*3761
3999999999970 : 2*5*13*30769230769
3999999999971 : 23*59*2947678703
3999999999972 : 2*2*3*19*83*211371803
3999999999973 : 3999999999973
3999999999974 : 2*11*181818181817
3999999999975 : 3*5*5*7*151*883*57143
3999999999976 : 2*2*2*499999999997
3999999999977 : 3999999999977
3999999999978 : 2*3*3*29*7662835249
3999999999979 : 67*59701492537
3999999999980 : 2*2*5*251*796812749
3999999999981 : 3*1333333333327
3999999999982 : 2*7*17*16806722689
3999999999983 : 13*307692307691
3999999999984 : 2*2*2*2*3*31*127*127*166667
3999999999985 : 5*11*179*406297613
3999999999986 : 2*1999999999993
3999999999987 : 3*3*444444444443
3999999999988 : 2*2*999999999997
3999999999989 : 7*7*53*1031*1493927
3999999999990 : 2*3*5*107*1009*1234991
3999999999991 : 19*210526315789
3999999999992 : 2*2*2*499999999999
3999999999993 : 3*193*6908462867
3999999999994 : 2*23*97*896458987
3999999999995 : 5*131*331*18449759
3999999999996 : 2*2*3*3*3*7*11*13*37*101*9901
3999999999997 : 3999999999997
3999999999998 : 2*1999999999999
3999999999999 : 3*17*71*1104667219
